,RSI Length,RSI Buy Threshold,RSI Sell Threshold,Stop Loss (%),Take Profit (%),Risk (%),Final Equity,Sharpe Ratio,Max Drawdown (%),Total Trades,Total Return (%),CAGR (%),Time in Market (%)
59,2,20,85,0.02,0.1,0.02,1191298.308918001,0.6405094150297993,-36.3112975940178,754,1091.2983089180009,9.314044343407746,43.63143631436314
60,2,20,85,0.03,0.05,0.01,232104.77101135254,0.6284073750704204,-13.090394203143289,754,132.10477101135254,3.07277571878366,43.63143631436314
61,2,20,85,0.03,0.05,0.02,517457.8616542818,0.6267696894292306,-25.194333599218062,754,417.4578616542818,6.08626956012821,43.63143631436314
62,2,20,85,0.03,0.1,0.01,238459.3215751648,0.6460243832394124,-13.086396516716226,754,138.45932157516478,3.172890413640128,43.63143631436314
63,2,20,85,0.03,0.1,0.02,545204.0053844453,0.6434558377022087,-25.191909690588894,754,445.2040053844453,6.28562300231128,43.63143631436314
64,2,20,90,0.02,0.05,0.01,358332.63507080066,0.6197849463889984,-19.30525023194552,628,258.3326350708007,4.6942913232636,36.6424190557695
65,2,20,90,0.02,0.05,0.02,1170830.4318485258,0.6194686033433432,-36.46058846766316,628,1070.8304318485257,9.245971893718385,36.6424190557695
66,2,20,90,0.02,0.1,0.01,383148.3862457274,0.646180984497521,-20.608988306331863,626,283.1483862457274,4.94657312348159,36.6424190557695
67,2,20,90,0.02,0.1,0.02,1335480.1133213048,0.6458559336114333,-38.27079394888877,626,1235.4801133213048,9.763859266657636,36.6424190557695
68,2,20,90,0.03,0.05,0.01,236416.08875465393,0.6196109525005384,-13.111924281100562,628,136.41608875465394,3.140983128200703,36.6424190557695
69,2,20,90,0.03,0.05,0.02,537429.2080459592,0.6197415603720585,-25.268296580105858,628,437.42920804595923,6.230766490318995,36.6424190557695
70,2,20,90,0.03,0.1,0.01,247359.04468727112,0.646457861673818,-14.071577452845958,626,147.35904468727114,3.308863622253133,36.6424190557695
71,2,20,90,0.03,0.1,0.02,587354.6356925962,0.6462214559251881,-26.81819381966285,626,487.35463569259616,6.570495461621273,36.6424190557695
72,3,10,80,0.02,0.05,0.01,180886.65004730225,0.38369268121038325,-20.2795479249395,202,80.88665004730224,2.15322820029209,25.07488232777065
73,3,10,80,0.02,0.05,0.02,310895.3642654417,0.38785267881565455,-37.63940841185086,202,210.89536426544174,4.161275336937664,25.07488232777065
74,3,10,80,0.02,0.1,0.01,168110.46283340454,0.3379340933010263,-20.27090350920932,198,68.11046283340454,1.8846290518591102,25.07488232777065
75,3,10,80,0.02,0.1,0.02,268980.5239982604,0.34476292102468087,-37.64293429457476,198,168.98052399826037,3.620498743348932,25.07488232777065
76,3,10,80,0.03,0.05,0.01,149257.00332450867,0.38253518333411507,-13.849179705860992,202,49.257003324508666,1.4499472487019105,25.07488232777065
77,3,10,80,0.03,0.05,0.02,217940.0708122253,0.384876562584164,-26.377721896470437,202,117.9400708122253,2.839753020897473,25.07488232777065
78,3,10,80,0.03,0.1,0.01,142111.54405021667,0.33578994826207414,-13.847070023880468,198,42.11154405021668,1.2712186203277964,25.07488232777065
79,3,10,80,0.03,0.1,0.02,197736.9309120178,0.34000693080115063,-26.38349403205998,198,97.7369309120178,2.480783383041807,25.07488232777065
80,3,10,85,0.02,0.05,0.01,197574.4138259887,0.41592853991163486,-19.250090513015827,190,97.57441382598871,2.477754752053629,17.928968763371845
81,3,10,85,0.02,0.05,0.02,374259.66894531227,0.42326698019942666,-36.823684785909236,190,274.2596689453123,4.858068745520594,17.928968763371845
82,3,10,85,0.02,0.1,0.01,176368.31747817987,0.3477256536017174,-19.257067426095,182,76.36831747817988,2.0603896568356594,17.928968763371845
83,3,10,85,0.02,0.1,0.02,298764.3634452818,0.35931293763752253,-36.82061444893171,182,198.76436344528182,4.012369166040108,17.928968763371845
84,3,10,85,0.03,0.05,0.01,158155.0540523529,0.41373865217049505,-13.01552118145746,190,58.15505405235291,1.6613203616781647,17.928968763371845
85,3,10,85,0.03,0.05,0.02,245635.03722000108,0.41822946159860763,-25.293624538677424,190,145.6350372200011,3.2828959648319778,17.928968763371845
86,3,10,85,0.03,0.1,0.01,146568.18485450745,0.3439144404507767,-13.019643316880176,182,46.56818485450744,1.38368002000957,17.928968763371845
87,3,10,85,0.03,0.1,0.02,211171.21165847775,0.3512627873293261,-25.289294838568104,182,111.17121165847776,2.7231937209231116,17.928968763371845
88,3,10,90,0.02,0.05,0.01,172898.0835723877,0.30729684790069084,-29.41327555254422,152,72.89808357238769,1.9875162742611252,10.668948794751106
89,3,10,90,0.02,0.05,0.02,278247.3097515106,0.3134218270593577,-53.261944879652155,152,178.2473097515106,3.7467288947716115,10.668948794751106
90,3,10,90,0.02,0.1,0.01,154706.48622894287,0.25003700693833886,-30.853153613487756,142,54.70648622894287,1.5807939332276533,10.668948794751106
91,3,10,90,0.02,0.1,0.02,223604.30216789246,0.2621361944501028,-55.11121393088928,142,123.60430216789247,2.9346390613703033,10.668948794751106
92,3,10,90,0.03,0.05,0.01,145092.13522338867,0.3055873687971495,-20.246159957438987,152,45.092135223388674,1.3468020554794125,10.668948794751106
93,3,10,90,0.03,0.05,0.02,204413.36253547668,0.30914508172696953,-37.951399667272646,152,104.41336253547668,2.6031740022075978,10.668948794751106
94,3,10,90,0.03,0.1,0.01,134694.22480773926,0.24658500481767578,-21.321295335680013,142,34.69422480773926,1.0762817022073268,10.668948794751106
95,3,10,90,0.03,0.1,0.02,176431.6628894806,0.2538572539165336,-39.61080331062872,142,76.43166288948059,2.0617069947970412,10.668948794751106
96,3,15,80,0.02,0.05,0.01,291369.40483665466,0.5983228353762609,-19.942640362238656,328,191.36940483665467,3.9187105001039058,28.07017543859649
97,3,15,80,0.02,0.05,0.02,784873.4978542326,0.5908242692703854,-38.03881004523294,328,684.8734978542326,7.686744338098084,28.07017543859649
